schema_version,workload,mode,selected_mode,repetition,config_path,event_count,sim_execution_ns,sim_execution_events_per_second,end_to_end_ns,end_to_end_events_per_second,simulated_end_time_ns,effective_thread_count,binary_sha256
2,fattree-k32-f4096,st,mt,12,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14512380833,1488491.946882,15722140584,1373958.074258,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,12,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7150468958,3020905.080055,8380208417,2577607.491978,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,13,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20735833,2607659.890008,23585125,2292631.478527,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,13,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152883167,353662.218418,155797583,347046.462203,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,13,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,197306791,2371190.558768,201092125,2326555.552586,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,13,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,436690833,1071350.632176,441502167,1059675.433031,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,13,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1773650125,2114905.271974,1795859834,2088749.872892,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,13,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1993304958,1881842.005633,2021970542,1855163.031351,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,13,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,15750409917,1371492.050927,16998490417,1270792.962791,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,13,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7436040125,2904891.264287,8645161708,2498610.058388,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,14,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,21001833,2574632.414228,24032500,2249953.188391,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,14,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152463000,354636.862714,155846166,346938.275017,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,14,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,197233000,2372077.694909,201502792,2321813.982607,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,14,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,429291292,1089817.121191,434424834,1076938.893415,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
